year_month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176
200208,29.96500015,,,29.93499947,29.93499947,,,,,30.25499916,30.08499908,29.62999916,29.34999847,29.2349987,29.4299984,29.23999977,30.40999985,,,29.93499947,29.93499947,,,,,30.25499916,30.08499908,29.15999985,29.13999939,29.07999992,29.23999977,29.23999977,29.92000008,29.80999947,29.79500008,30.1099987,30.82999992,,,,29.4849987,30.74499893,30.74499893,30.01000023,29.27499962,29.09000015,29.09000015,29.13500023,29.99499893,29.68499947,29.50499916,29.50499916,30.82999992,,,,29.4849987,30.74499893,30.74499893,30.47499847,28.93999863,29.04999924,29.3049984,29.68999863,30.16499901,30.04500008,29.59000015,29.5,,,,,29.4849987,30.74499893,30.74499893,30.8049984,28.93999863,29.21500015,29.12999916,29.32499886,30.12999916,29.96500015,29.44999886,29.31999969,29.52999878,29.53999901,28.51499939,34.64999771,,31.10499954,28.55500031,28.55999947,29.21500015,28.88999939,28.67000008,28.69499969,29.93999863,29.9299984,30.125,29.90999985,28.97499847,28.7349987,28.51499939,28.125,,31.10499954,28.55500031,28.55999947,28.71999931,28.78499985,28.76000023,28.70499992,30.0549984,29.45999908,30.125,29.91499901,28.76000023,28.75,28.65499878,28.125,,,28.55500031,28.58499908,28.53999901,28.58499908,28.62999916,28.58499908,29.88500023,29.47499847,29.16499901,29.28999901,29.28499985,28.89999962,28.84000015,28.23999977,30.17000008,28.28999901,28.31499863,28.34999847,28.47999954,28.77999878,29.00499916,28.72499847,29.4299984,29.47499847,29.39499855,29.32999992,29.31999969,29.10499954,29.13999939,29.13500023,28.76000023,28.84999847,28.49499893,28.48999977,28.68000031,28.88999939,29.11499977,29.29500008,29.67000008,29.75499916,29.42000008,29.5,29.56499863,29.46500015,29.40499878,29.38500023,29.30999947,29.27999878,29.33499908,29.25499916,29.22499847,29.01000023,29.04500008,29.47499847
200209,27.98999977,,,28.6099987,28.6099987,,,,,28.74499893,28.36999893,27.89499855,28.07999992,28.17000008,28.13500023,28.21500015,27.98999977,,,28.6099987,28.6099987,,,,,28.42000008,28.375,28.04999924,28.00499916,28.31499863,28.21500015,28.21500015,28.75499916,31.13999939,29.76000023,27.42000008,,,,,28.65999985,29.03499985,29.43499947,29.11499977,28.5,28.36499977,28.28499985,28.19999886,28.69499969,29.03499985,29.41499901,27.42000008,,,,,28.65999985,29,29.04999924,28.36999893,28.375,28.39499855,28.43499947,28.51499939,28.51000023,28.51000023,28.91499901,,,,,,28.65999985,28.65999985,28.66499901,28.36999893,28.375,28.48999977,28.56999969,28.64999962,28.97999954,28.81499863,28.93499947,27.89499855,27.89499855,27.81999969,27.81999969,,,28.01999855,28.11999893,29.82999992,28.88500023,28.39999962,28.5,28.84999847,28.52499962,28.60499954,28.93499947,27.11999893,27.93499947,27.81999969,27.81999969,,,28.01999855,28.11999893,28.11499977,27.92000008,28.54500008,28.72999954,28.85499954,29.51000023,29.59999847,28.93499947,27.11499977,27.93499947,27.93000031,27.81999969,,,,28.11999893,28.43499947,28.57999992,28.72999954,28.91499901,29.25,29.71999931,28.55999947,27.2349987,27.2349987,28.61999893,28.70999908,27.87999916,27.36999893,28.09999847,27.76499939,28.08499908,28.44499969,28.65499878,28.91499901,29.44499969,29.66499901,29.02499962,28.55999947,28.44499969,28.53499985,28.42499924,28.04500008,27.87999916,27.36999893,28.09999847,27.54999924,27.8599987,28.3599987,28.79500008,29.1099987,29.41499901,29.64999962,29.35499954,28.80999947,28.89999962,29.08499908,29.19999886,29.17499924,28.75,28.375,28.30999947,28.13500023,27.89499855,28.51000023,29.05999947,29.39999962,29.46999931,29.6099987
200210,26.52999878,,29.45999908,26.94499969,26.86499977,,,,,27.76000023,27.72499847,27.52999878,27.42499924,27.54999924,27.875,26.61499977,26.87999916,,29.45999908,26.94499969,26.86499977,,,,,27.76000023,28.29500008,27.20999908,27.07999992,26.68000031,27.375,27.375,27.05500031,27.40499878,27.37999916,27.95499992,31.38999939,,,,,27.85499954,27.79500008,27.29500008,27.13500023,26.95499992,27.01999855,27.21999931,26.98999977,27.14499855,27.31499863,27.31499863,31.38999939,,,,,28.47499847,28.28999901,27.38500023,27.06499863,27.02999878,26.96500015,27.08499908,26.98999977,27.11999893,27.375,27.31499863,,,,,,28.55500031,28.55500031,28.43499947,27.06499863,27.03499985,26.96999931,27.15999985,26.90999985,27.11499977,27.20499992,27.40999985,27.94999886,28.00499916,27.52999878,27.70499992,,30.04500008,26.68999863,26.71500015,26.86999893,26.86499977,26.91499901,27.20999908,26.92000008,27.125,28.06499863,28.49499893,28.36999893,27.4849987,27.52999878,27.70499992,29.3599987,29.09999847,26.68999863,26.71500015,27.51000023,26.82499886,26.96999931,27.32499886,26.70999908,26.51999855,28.06499863,28.49499893,27.57999992,27.56499863,27.40999985,27.70499992,29.3599987,28.46999931,26.68999863,27.08499908,26.93999863,26.85499954,26.90499878,26.9849987,27.44499969,27.45999908,28.06499863,28.06499863,27.48999977,27.55999947,27.60499954,27.72999954,28.57499886,28.18999863,27.09000015,26.96500015,26.92000008,26.88500023,26.94999886,27.05500031,27.20499992,27.61499977,27.65999985,27.6099987,27.51499939,27.46500015,27.60499954,27.55500031,27.12999916,26.75499916,26.86999893,26.92499924,26.94999886,26.96999931,27.05500031,27.18999863,27.14999962,27.62999916,27.59999847,27.74499893,27.61499977,27.48999977,27.63500023,27.41499901,27.09999847,26.98999977,26.92000008,26.94999886,27.01999855,27.01499939,27.46500015,27.20499992
200211,22.78999901,27.84000015,22.49499893,22.67499924,22.71999931,,,,,25.15999985,24.17499924,24.25,24.24499893,24.26999855,24.3599987,23.86499977,22.84499931,27.84000015,22.49499893,22.67499924,22.71999931,,,,,25.15999985,25.07999992,24.33499908,24.12999916,24.25,24.42499924,24.60000038,23.18499947,24.06499863,23.79500008,23.42499924,23.01000023,,,,24.32999992,25.55999947,25.21500015,23.94499969,24.06999969,24.16499901,24.18000031,24.09499931,23.43499947,23.94499969,23.76499939,23.76499939,23.01000023,,,,24.32999992,25.55999947,25.39499855,23.78999901,24.28499985,24.51000023,24.18000031,24.18999863,23.48999977,23.54500008,23.56499863,23.76499939,,,,,24.32999992,25.58499908,25.96999931,26.05500031,22.88500023,24.21999931,24.16499901,24.21999931,23.55999947,23.92499924,23.97500038,24.41499901,23.76000023,23.63500023,24.20499992,24.77999878,27.84000015,25.46999931,26.20999908,25.09000015,24.68000031,24.48999977,24.26000023,24.30999947,23.92000008,23.93999863,24.14999962,24.18000031,23.80999947,24.07999992,24.20499992,24.77999878,27.84000015,23.375,24.86999893,24.86999893,24.8599987,24.40499878,24.33499908,24.25499916,23.9849987,24.125,24.14999962,23.01499939,24.125,24.34000015,24.45999908,24.77999878,23.63999939,23.36999893,24.86999893,24.70499992,24.54999924,24.42499924,24.32999992,24.19999886,23.44499969,22.78499985,23.77499962,23.63999939,24.02499962,24.43000031,24.59000015,24.42499924,24.85000038,25.09499931,24.64499855,24.51499939,24.40499878,24.26499939,24.28999901,24.26000023,24.26499939,24.29500008,24.22999954,24.25,24.51999855,24.61499977,24.35499954,24.15499878,24.60499954,24.42499924,24.45499992,24.43999863,24.35499954,24.375,24.40999985,24.34000015,24.36999893,24.44999886,24.44499969,24.42499924,24.375,24.35000038,24.46500015,24.53999901,24.58499908,24.65499878,24.53999901,24.45999908,24.29999924,24.26999855,24.35000038,24.56999969
200212,22.58499908,,,,,,,,,20.43000031,21.74499893,22.17499924,22.09499931,21.95999908,21.80999947,20.95999908,22.55999947,,,,,,,,,20.47999954,21.9849987,21.77499962,21.65999985,21.68000031,21.42499924,20.95999908,22.44499969,24.08499908,20.96999931,20.96999931,,,,,21.1099987,21.32499886,21.03999901,20.71999931,21.32499886,21.39999962,21.42499924,21.43499947,22.5,22.10499954,21.82499886,20.96999931,,,,,21.1099987,21.32499886,21.03999901,20.84499931,20.71999931,20.8599987,21.15999985,21.02000046,22.05999947,22.1099987,22.20999908,20.25,,,,,21.1099987,21.32499886,21.03999901,21.02999878,20.71999931,20.70499992,20.86499977,20.75,22.08499908,21.91499901,22.41499901,22.41499901,22.60499954,22.6099987,22.60499954,22.47500038,,20.33499908,20.57499886,20.50499916,20.38999939,20.53999901,20.63999939,20.47500038,22.54999924,22.83499908,23.43000031,22.60499954,22.35000038,22.64499855,22.60499954,22.47500038,,20.14999962,20.09000015,20.1099987,20.47999954,20.62999916,20.56499863,20.70999908,22.94499969,23.64999962,23.43000031,22.60499954,22.04500008,22.09000015,22.71500015,22.47500038,,22.17499924,21.43499947,20.83499908,20.77999878,20.76000023,20.81999969,21.03499985,22.26499939,22.19499969,22.79500008,22.13999939,22.14999962,22.01000023,21.87999916,21.31499863,21.02499962,21.03499985,20.97500038,20.90499878,20.75,20.51499939,20.43499947,21.01000023,22.07499886,22.19499969,22.36499977,22.35000038,22.21500015,22.24499893,22.14999962,21.39999962,21.06499863,21.10000038,20.96999931,20.78999901,20.70499992,20.65499878,20.83499908,21.125,22.19499969,22.34499931,22.33499908,22.15499878,22.20499992,22.08499908,21.72500038,21.62999916,21.61499977,21.52000046,21.36499977,20.99499893,21.09499931,20.98999977,21.06499863,21.23999977
200301,17.36499977,16.19000053,16.19000053,18.9849987,18.9849987,,,,,16.96500015,17.10499954,17.26000023,17.32499886,17.30500031,17.14500046,17.69999886,17.36499977,16.19000053,16.19000053,18.9849987,18.9849987,,,,,16.96500015,16.81999969,17.05500031,17.21999931,17.24499893,17.26499939,17.11499977,17.50499916,17.71999931,18.68499947,18.69000053,,,,,16.96500015,18.06999969,18.10499954,17.28999901,16.84499931,17.04999924,17.05500031,16.92000008,17.65999985,17.71999931,17.85499954,17.85499954,,,,,16.96500015,17.95999908,17.65499878,17.08499908,17.20499992,17.18499947,17.13999939,17.07499886,17.67499924,17.72999954,17.80500031,17.85499954,,,,,16.96500015,17.6099987,17.54500008,17.02999878,17.20499992,17.19000053,17.11499977,17.125,17.65499878,17.77499962,17.79999924,17.63500023,17.82499886,17.85000038,17.82499886,17.94000053,,16.93000031,17.38999939,17.42000008,17.15999985,17.22500038,17.28999901,17.29500008,17.76499939,17.83499908,17.77000046,17.65999985,17.75,17.82999992,17.82499886,17.94000053,,17.3599987,17.36499977,17.36499977,17.26000023,17.24499893,17.30500031,17.30500031,17.69000053,18.00499916,17.77000046,17.65999985,18.01499939,18,17.88500023,17.94000053,,17.64500046,17.36499977,17.60000038,17.52499962,17.46999931,17.44000053,17.44499969,17.89500046,17.92499924,17.77000046,17.77000046,17.64500046,17.88500023,17.95499992,17.96500015,18.86999893,17.375,17.44499969,17.52499962,17.59000015,17.57499886,17.53499985,17.71999931,17.7349987,17.92499924,18.04999924,18,17.87999916,17.80999947,17.85499954,18.50499916,17.88999939,17.47999954,17.61999893,17.625,17.63500023,17.70499992,17.98999977,18.15499878,17.79500008,18.06500053,18.08499908,17.96500015,17.95999908,17.94000053,17.875,17.89999962,17.90499878,17.8599987,17.83499908,17.75499916,17.70499992,17.60499954,18.26499939,18.62999916
200302,20.375,,,21.26499939,21.26499939,,,,,,19,18.49499893,18.41499901,18.38500023,18.45999908,19.05500031,18.93000031,,,21.26499939,21.26499939,,,,,,19,18.24499893,18.21500015,18.11499977,18.32999992,19.05500031,18.52499962,19.06999969,19.39500046,19.60000038,,,,,,,,17.62999916,18.46500015,18.11999893,18.125,18.37999916,18.68499947,18.81999969,18.26499939,18.26499939,,,,,,,,17.45499992,17.78499985,17.76000023,17.73999977,17.88500023,18.85499954,18.89500046,19.01000023,18.26499939,,,,,,,,17.45499992,17.78499985,18.10499954,18.04500008,17.875,19.37999916,19.25,18.91499901,18.70999908,18.70999908,19.10000038,19.27000046,,,,17.13999939,17.16499901,17.98999977,18.17499924,18.32999992,18.24499893,18.91499901,19.53999901,19.11999893,17.71999931,17.44000053,19.10000038,19.27000046,,,,17.13999939,17.16499901,17.85000038,17.96500015,18.23999977,18.30999947,19.00499916,19.20499992,19.11999893,17.71999931,18.81499863,18.80500031,18.68499947,,,,17.13999939,17.75499916,17.83499908,17.82499886,18.02000046,18.44000053,19.47500038,19.09499931,18.43499947,18.43499947,19.15999985,18.9849987,18.92499924,18.39999962,17.81999969,17.53499985,17.40499878,17.13500023,17.05500031,17.96999931,18.67000008,19.26499939,19.08499908,19.09499931,19.13500023,19.01000023,18.67499924,18.52999878,18.47500038,17.19000053,17.63500023,17.22500038,17.44999886,17.01499939,17.7349987,18.40499878,18.77999878,19.21999931,19.28999901,19.47500038,18.97500038,18.82499886,18.52000046,18.30500031,18.20499992,17.875,17.37999916,17.01000023,16.87999916,17.26499939,18.36999893,18.93999863,19,19.30999947
200303,22.43999863,,,,,,,,,,21.4849987,20.57999992,20.51499939,20.61499977,20.11499977,20.11499977,22.43999863,,,,,,,,,,21.4849987,20.45499992,20.09000015,20.06999969,20.11499977,20.11499977,21.52000046,21.43999863,22.89999962,22.89999962,,,,,,,,,20.07499886,20.07999992,20.15499878,20.38999939,21.39999962,21.43999863,22.89999962,22.89999962,,,,,,,,,20.29500008,20.25499916,20.20499992,20.49499893,21.28499985,21.25499916,,,,,,,,,,,20.29500008,20.44999886,20.36999893,20.59499931,21.48999977,21.4849987,21.73999977,20.71999931,20.71999931,20.50499916,20.50499916,,,,21.63999939,21.30500031,21.30500031,20.27999878,20.25499916,20.11499977,22.05500031,22.20999908,22.31999969,20.71999931,20.17499924,20.50499916,20.50499916,,,,21.63999939,21.29999924,21.30500031,19.55999947,19.85000038,20.27999878,21.76499939,22.20999908,22.31999969,,20.17499924,20.20999908,20.43000031,,,,21.63999939,20.27999878,19.95499992,19.69999886,20.92499924,22.13500023,20.60499954,20.22999954,20.14999962,20.04999924,21.29500008,21.00499916,20.89999962,19.75499916,19.75499916,19.79999924,19.35000038,19.39500046,19.67499924,19.8599987,21.51499939,21.85000038,20.04500008,20.22999954,20.14999962,20.04999924,20.10499954,19.95499992,20.51000023,19.75499916,19.75499916,19.79999924,19.46500015,19.80500031,20.01499939,20.78999901,21.08499908,21.25,20.09499931,20.93999863,20.11999893,19.98999977,20.01499939,19.93999863,19.90999985,19.89999962,19.82499886,19.7349987,20.00499916,20.64500046,21.4849987,21.26000023,21.44499969,21.75499916
200304,25.79999924,,,26.31499863,26.31499863,,,,,,24.98999977,24.34000015,24.07499886,23.88999939,23.93499947,24.625,25.79999924,,,26.31499863,26.31499863,,,,,,24.4849987,23.75499916,23.83499908,24.14999962,24.625,24.625,24.85499954,25.74499893,26.59999847,27.46500015,28.15499878,,,,,25.82499886,30.26999855,30.26999855,23.07499886,23.72500038,24.07499886,24.42499924,24.90499878,24.96999931,25.67499924,25.68000031,28.15499878,,,,,25.82499886,25.82499886,30.26999855,23.67000008,23.86999893,24.17000008,24.10499954,25.19999886,25.18999863,25.67499924,25.67499924,,,,,,31.26000023,31.26000023,,23.67000008,24.79999924,24.27499962,24.375,25.78999901,24.86999893,24.85499954,24.40499878,24.40499878,24.25,24.34499931,23.37999916,,,24.14499855,24.15499878,24.64499855,24.68000031,24.69499969,24.59000015,26.01000023,25.98999977,24.85499954,24.40499878,24.67000008,24.25,24.34499931,23.37999916,,,24.14499855,24.15499878,24.76999855,24.51999855,24.60000038,24.62999916,25.84499931,25.86499977,26.36499977,26.96500015,24.68499947,24.67499924,24.57499886,23.37999916,,,24.14499855,24.43499947,24.44999886,24.55999947,24.69999886,24.75499916,24.875,24.66499901,24.44499969,24.44499969,25.46999931,25.00499916,24.87999916,23.81999969,23.60000038,24.39999962,24.45999908,24.51999855,24.45499992,24.53999901,24.66499901,24.77499962,24.54500008,24.66499901,24.68499947,24.63500023,24.69999886,24.69499969,24.43000031,23.81999969,23.60000038,24.30999947,24.52499962,24.29999924,24.54999924,24.74499893,24.86999893,24.95499992,24.60499954,24.74499893,24.45999908,24.68999863,24.67499924,24.56999969,24.36499977,24.19999886,24.14499855,24.21500015,24.43999863,24.47500038,24.71500015,24.92499924,24.93999863,24.93000031
200305,29.01000023,,,28.76000023,28.76000023,,,,,26.125,27.22999954,26.95999908,27.06499863,27.36999893,27.66499901,27.68000031,28.51499939,,,28.76000023,28.76000023,,,,,26.125,27.22999954,26.93999863,26.95499992,27.09499931,27.68000031,27.68000031,28.84499931,28.50499916,29.02499962,29.27499962,29.88999939,,,,,29.71500015,29.4849987,26.97999954,26.8599987,27.13500023,27.27499962,27.46500015,28.56999969,28.50499916,27.90499878,29.27499962,29.88999939,,,,31.0549984,26.75499916,26.75499916,27.00499916,27.34999847,27.02499962,26.69999886,26.64999962,28.40499878,28.36999893,26.90999985,28.40499878,,,,,31.0549984,31.01000023,30.54500008,29.62999916,27.34999847,26.60499954,26.29999924,26.39499855,28.21500015,28.25,29.45499992,28.43499947,28.88999939,28.02499962,28.01000023,27.96500015,,,27.22499847,27.20999908,27.42000008,27.07499886,26.71500015,26.70499992,28.72999954,29.00499916,29.45499992,28.09999847,27.39499855,28.02499962,28.01000023,27.96500015,,30.33499908,27.22499847,27.20999908,26.52999878,26.17000008,26.42000008,26.46500015,28.54500008,28.97499847,29.45499992,28.38500023,27.39499855,27.42000008,27.60499954,27.96500015,,30.33499908,27.22499847,26.30500031,26.19499969,26.51499939,26.57999992,26.57999992,28.00499916,27.55500031,28.09000015,27.78999901,28.40999985,28.02999878,27.96500015,27.59999847,28.34999847,26.36999893,26.34000015,26.29500008,26.33499908,26.51000023,26.32499886,26.54999924,27.65499878,27.55500031,27.2349987,27.06499863,27.28999901,27.29999924,27.28499985,27.24499893,26.78499985,27.16499901,26.31499863,26.59000015,26.7349987,26.39499855,26.69999886,27.05500031,27.34000015,27.30999947,27.13999939,27.09999847,26.96500015,26.93999863,26.92000008,26.82999992,26.74499893,26.92000008,27.14499855,26.9849987,26.83499908,26.625,26.38500023,26.59499931
