year_month,DM1,DM2,DM3,DM4,DM5,EM1,EM2,EM3,JM3,JM4,MM1,MM13,MM14,MM15,MM16,MM17,MM19,MM2,MM3,MM4,MM5,MM6,MM7,MM8,NM1,NM2,NM3,NM5,NM6,NM8,PM1,PM11,PM2,PM3,PM4,PM6,PM7,PM8,PM9,SM1,SM10,SM11,SM12,SM13,SM17,SM18,SM19,SM2,SM20,SM3,SM4,SM5,SM6,SM7,SM9,TM2,TM3,TM4,TM5,TM6,TM7,TM8,VM1,VM12,VM14,VM15,VM2,VM4,VM5,VM6,VM7,VM8,WM1,WM2,WM3,WM4,ET1,ET2,NT1,PT2,PT3,PT4,ST1,ST3,TT1,VT10,VT11,VT12,VT2,VT3,VT4,VT8,WT1,WT3
2002-07-01,14,32,12,4,3,8,7.4,2.3,7.6,8.4,1.2,0.6,0.3,1,1.1,1.1,0.9,6.1,9.7,1,0.9,3.1,2.5,0.9,3.3,5.7,8.7,5.4,1.9,4.7,1.4,0.4,1.9,1.3,2.1,3.1,0.3,0.3,0.7,5.4,21,20,13,22,22,8.4,17,14,21,7.1,21,28,27,23,8.7,2.7,2.5,4.4,1.4,1.8,0.3,0.5,35,11,13,17,22,22,21,18,17,15,13,19,17,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-08-01,8,7.4,4.3,5,2,1.3,0.9,1.5,1.9,1.2,1.2,14,19,1.3,2.4,3.1,3.1,2.9,1.5,0.9,2.9,2.3,2.5,6,3.8,2.6,3.4,2.2,2.9,2.5,2,0.4,1.4,4.9,2.2,1.3,1.1,1.4,1,2.3,12,21,14,11,5,2.3,3.4,14,3.5,12,15,4.2,0.4,5.8,1.9,29,37,25,6.7,16,7.2,8,4.8,6.3,22,7.8,7,9.9,9.7,9.1,9,9.3,16,9.5,7.9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-09-01,1,1.7,0.6,0.9,0.7,0.6,1.3,2,2,1.3,28,1.5,1.2,1.1,0.4,1.3,1,4,6.8,1.9,0.7,3.1,2.3,1.6,7.6,4.9,4.9,4.5,3.6,3.6,3.8,1.7,2.5,2.2,2.2,3.8,2,2.6,2.8,0.6,3.3,1,2.3,1.1,0.9,0.7,0.6,0.9,0.6,0.8,0.7,0.9,0.7,1.4,0.4,18,8.9,11,7.1,7.5,2.8,1.7,6.2,13,20,35,26,30,28,27,27,25,33,13,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-10-01,2.3,2.2,0.9,0.9,1.5,0.8,0.4,0.8,1,1.5,7.1,0.7,1.9,1.2,3.1,0.5,0.7,1,0.6,0.3,0.3,2.4,1.3,0.9,1.5,1.8,1.4,2.2,1.2,0.7,2.4,1.7,2,3,1.6,1.8,0.9,0.8,1.1,4.4,7.8,6.2,3.8,3.8,4.9,5.1,5.4,4.9,4.3,3.4,3.6,10,5.2,9.1,1.7,9.6,11,3.4,3.6,4.6,6.1,4.4,1.5,0.8,2.2,0.7,0.9,0.9,0.8,1.6,0.7,0.6,1.5,0.8,0.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-11-01,0,0,0.9,1.2,1.3,1.6,0.3,1.6,1.7,1.4,11,5.6,1.4,0.9,0.5,0.7,3.2,0.4,1.4,0.3,0.4,0.6,0.8,5.4,1.5,1.2,1.8,1.9,1.8,2.2,2.2,1.6,1.4,1.8,1.5,1.9,1.2,1.5,1.5,1.8,2.2,1.9,1.7,2.2,1.9,0.5,0.2,0.3,1.2,3.6,2.8,0.2,4.8,6.1,2,11,7.7,8.3,2.9,7.4,4.1,2.4,0.6,1,0.8,1.1,0.7,1,1.2,1,0.9,0.9,1,0.7,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-12-01,4.6,3.1,2.5,2.2,2.4,1.2,1.7,1.9,1.1,1.2,3.8,2.2,1.4,1.1,1,1.3,1.2,0.8,0.8,0.7,1.3,1.7,1.6,1.3,0.7,0.7,1.2,1.1,0.8,0.8,1.4,0.8,0.6,0.8,0.8,1.4,1.2,1,1.3,0.9,1.4,1.6,2.6,0.9,0.9,1.1,0.8,0.8,1,0.4,0.8,0.8,1,1,1,11,13,8.8,7.7,7.3,4.7,3.7,1.1,0.6,0.8,1.3,0.9,1,0.8,1.1,0.9,1,1.3,1.3,1.3,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-01-01,7.7,2.4,2.9,2.2,4.4,1.6,1.8,2,1.4,1.5,1.2,1.5,1.5,1.7,1.6,1.1,2.1,1.5,2,2.4,1.3,0.9,0.9,1.6,2.7,2.6,3.1,2.7,4.5,5.3,1.3,2.1,1.8,1.2,0.6,0.8,1.6,0.6,1.5,1.4,4.9,4,2.5,3.6,1.7,1.5,1.4,1.4,2.8,1.4,1.4,1.3,1.7,1.7,2.6,3.2,2.4,3.6,1.2,2.9,2.7,1.8,2.4,2.5,1.6,2.5,1.1,1.1,1.7,1,0.9,0.8,2.2,2,2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-02-01,1.4,1.2,0.4,2.6,2.3,1.1,0.6,0.9,0.8,0.6,3.5,1.2,1.1,1.1,1.1,0.9,1.2,1.4,1.7,1.2,0.7,1.2,1.2,1.1,5.1,10,14,12,5.6,3.6,1.8,0.9,0.9,0.6,0.9,1.5,0.8,0.6,0.5,1.4,1.6,1.5,1.1,1.2,1.3,1.3,1.1,1.2,1.1,1.3,1.5,1.6,1.8,3.4,0.7,9.7,9.7,4.8,2.8,4.6,5.4,3.6,0.5,0.6,0.3,0.5,0.2,0.4,0.6,0.6,0,0,1.7,1.7,0.7,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-03-01,0.8,1,0.7,0.6,0.6,0.3,0.6,0.6,0.5,0.6,20,1.3,2,2,2.2,1.5,2.3,3.6,5.9,1.5,0.9,1.2,1,1.7,0.5,1.3,1.6,2.5,2.2,2.2,2.9,1.8,2.6,2.5,2.1,2.8,1.9,1.8,1.4,1.2,2.1,2.5,1.3,1.5,0.8,1.7,0.8,1.3,0.9,1.5,1.4,2.1,1.7,2.4,2.6,9.7,15,14,4.4,12,9.5,3.4,0.3,0.3,0.5,0.5,0.3,0.5,0.3,0.4,0,0.6,0.9,1.1,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04-01,1.9,0.7,0.7,1.2,0.6,0.9,1.2,1.2,0.8,1,5.6,0.4,0,0.6,1.4,0.9,5.4,1.7,0.8,0.9,0.6,1,1.5,3.2,0.4,0.6,0.7,0.5,0.7,0.8,1.7,1.3,1.5,0.8,1.9,0.9,1,1.5,1,1,0.6,0.6,0.9,0.9,1.3,1.3,1,1.1,0.9,1.4,1.5,0.8,0.9,1.2,1.1,5.9,5.8,5.5,3.8,4.1,1.9,2.1,1.1,0.7,0.5,0.4,0.7,0.6,0.5,0.5,0.3,0.6,1.5,0.7,0.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
