year_month,DM1,DM2,DM3,DM4,DM5,EM1,EM2,EM3,JM3,JM4,MM1,MM13,MM14,MM15,MM16,MM17,MM19,MM2,MM3,MM4,MM5,MM6,MM7,MM8,NM1,NM2,NM3,NM5,NM6,NM8,PM1,PM11,PM2,PM3,PM4,PM6,PM7,PM8,PM9,SM1,SM10,SM11,SM12,SM13,SM17,SM18,SM19,SM2,SM20,SM3,SM4,SM5,SM6,SM7,SM9,TM2,TM3,TM4,TM5,TM6,TM7,TM8,VM1,VM12,VM14,VM15,VM2,VM4,VM5,VM6,VM7,VM8,WM1,WM2,WM3,WM4,ET1,ET2,NT1,PT2,PT3,PT4,ST1,ST3,TT1,VT10,VT11,VT12,VT2,VT3,VT4,VT8,WT1,WT3
2002-08-01,7.6,6.3,6.5,6.2,5.7,0.89,0.82,0.71,0.7,0.72,1.1,0.83,0.42,0.45,0.43,0.45,0.76,0.65,0.74,0.6,0.5,0.63,0.5,0.97,5.2,4.7,3.8,6.3,6,6.6,0.58,0.61,0.79,0.98,1,1,0.53,0.47,0.6,0.27,2,1.5,1.6,1.9,2.4,0.37,0.19,0.84,3,0.84,0.89,0.37,0.28,0.35,2.4,1.1,0,0.25,0.4,0.3,0.31,0.26,0.27,1.1,0.67,0.42,0.31,0.25,0.25,0.3,0.47,0.33,0.19,0.29,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-09-01,9.5,8.3,4.4,4.2,4,1,1,0.93,1.1,0.93,0.34,0.62,0.71,0.59,0.46,0.74,0.66,0.88,0.81,0.78,0.73,0.79,0.91,0.62,2.3,2.9,2.9,4.1,3.5,4,0.87,0.62,0.73,0.68,1,1.4,0.64,0.63,0.82,1.1,2.7,1.9,1.4,1.5,0.87,0.79,0.77,1,0.96,1.1,1.1,0.99,1.3,1.5,1.7,1.1,0.3,0.19,0.36,0.27,0.39,0.36,0.28,2.1,3,0.06,0.05,0,0,0.07,0.16,0.54,0.6,2.5,1.9,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-10-01,8.8,7.2,4.3,3.4,2.3,0.67,0.46,0.44,0.76,0.67,0.06,0.26,0.2,0.2,0.38,0.25,0.54,0.08,0.16,0.23,0.21,0.26,0.11,0.49,1.8,2,1.9,3.3,2.3,1.5,1.1,0.63,0.99,0.92,1.2,0.93,0.8,0.63,0.61,0.48,0.94,1,1,0.91,0.36,0.76,0.22,0.55,0.59,0.49,0.68,0.3,0.54,0.7,1.2,2.9,1.9,2.3,1.6,1.6,1.6,1.5,1.1,1.4,1.5,1.4,1.2,1.3,1.3,1.4,1.3,1.2,0.85,0.9,1.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-11-01,5.5,4.2,2.4,1.5,1.3,0.77,0.67,0.64,0.78,0.77,0.07,0.61,0.59,0.35,0.31,0.33,0.16,0.12,0.29,0.36,0.36,0.33,0.24,0.17,0.81,0.79,0.85,1.2,0.81,0.36,0.94,0.68,0.86,0.78,0.91,1.1,0.7,0.67,0.64,0.62,1,0.92,0.92,0.95,0.79,0.45,0.36,0.54,0.97,0.48,0.48,0.74,0.58,0.83,0.94,0.83,0.35,0.35,0.4,0.36,0.41,0.43,0.85,0.9,0.92,0.95,0.84,0.87,0.91,0.95,0.96,0.97,0.89,0.87,0.87,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-12-01,5.6,4.3,2.2,2.4,2.4,0.45,0.41,0.35,0.58,0.53,1.1,0.42,0.55,0.5,0.32,0.38,0.41,0.72,0.37,0.34,0.36,0.48,0.58,0.45,1.3,1.4,1.2,2.1,1.6,1.2,0.64,0.49,0.71,0.68,0.72,0.7,0.62,0.51,0.54,0.44,0.92,1.1,1,0.9,0.53,0.6,0.49,0.62,0.6,0.58,0.63,0.72,0.84,0.79,0.77,0.19,0,0.38,0.46,0.25,0.33,0.26,0.66,0.8,0.82,0.85,0.79,0.82,0.83,0.82,0.8,0.82,0.59,0.69,0.69,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-01-01,3.1,2.1,1.8,2.4,1.6,0.46,0.48,0.5,0.5,0.45,0.53,1.1,0.94,0.84,0.75,0.25,0.78,0.33,0.25,0.34,0.58,0.25,0.24,0.89,0.17,0.13,0.52,0.73,0.34,0.25,0.73,0.9,0.8,0.79,0.73,0.7,0.86,0.88,0.9,0.56,0.35,0.45,0.37,0.4,0.39,0.61,0.72,0.53,0.4,0.54,0.54,0.6,0.57,0.55,0.41,1.3,0.83,0.83,0.82,0.74,0.66,0.63,0.66,0.61,0.59,0.66,0.71,0.65,0.6,0.66,0.67,0.67,0.39,0.4,0.42,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-02-01,5,4.4,2.4,1.7,1.6,0.5,0.49,0.51,0.58,0.51,0.56,0.53,0.57,0.55,0.55,0.48,0.52,0.45,0.48,0.45,0.41,0.58,0.36,0.52,0.23,0.22,0.29,0.23,0.28,0.28,0.38,0.37,0.48,0.39,0.4,0.42,0.4,0.42,0.35,0.49,0.59,0.52,0.51,0.53,0.38,0.58,0.6,0.45,0.45,0.33,0.35,0.42,0.37,0.2,0.59,0.81,0.68,0.53,0.46,0.34,0.3,0.24,0.54,0.49,0.45,0.56,0.55,0.55,0.53,0.54,0.55,0.52,0.38,0.35,0.55,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-03-01,5.4,4.7,3.5,2,1.5,0.42,0.36,0.3,0.48,0.46,0.35,0.15,0.37,0.17,0.19,0.12,0.24,0.15,0.09,0.15,0.12,0.17,0.26,0.23,0.33,0.29,0.31,0.33,0.33,0.24,0.72,0.34,0.53,0.51,0.67,0.57,0.46,0.34,0.33,0.24,0.43,0.39,0.37,0.4,0.31,0.2,0.24,0.21,0.33,0.22,0.22,0.21,0.26,0.22,0.34,1.1,0.68,0.75,0.95,0.66,0.65,0.8,0.43,0.67,0.67,0.6,0.43,0.48,0.52,0.63,0.65,0.53,0.43,0.46,0.58,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04-01,6.2,5.7,3.6,3.6,2.8,0.68,0.48,0.49,0.69,0.61,0.05,0.14,0.15,0.16,0.08,0.06,0.15,0.05,0,0.07,0.06,0.06,0,0.11,1.4,1.7,1.9,2.7,2.3,1.4,0.2,0.18,0.14,0.11,0.18,0.16,0.11,0.19,0.15,0.23,1.1,0.96,0.9,0.84,0.23,0.19,0.17,0.27,0.56,0.33,0.51,0.25,0.28,0.3,0.73,0,0,0,0,0,0,0,0.78,1.3,1.6,1.1,0.83,0.76,1,1,1.1,1,0.67,1.3,1.1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-01,4.6,4.6,4.4,4,3.5,0.08,0.1,0.07,0,0.06,0.48,0.23,0.23,0.23,0.1,0.06,0.26,0.08,0,0,0,0.07,0.06,0.2,1,1.8,1.8,2.5,1.8,1,0.14,0.17,0.09,0.08,0.14,0.13,0.07,0.07,0.16,0.17,1,0.56,0.98,0.7,0.67,0.6,0.09,0.15,1.5,0.28,0.19,0.15,0.28,0.34,1.1,0.41,0.24,0.35,0.75,0.37,0.29,0.13,0.35,1.1,1.3,0.85,0.61,0.6,0.77,0.86,1.1,1.2,1.1,1.2,1.1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
