"site_code","lat","lon"
"TM2",22.4124,114.2181
"TM3",22.4476,114.203
"TM4",22.4327,114.2196
"TM5",22.4571,114.2243
"TM6",22.4439,114.2418
"TM7",22.4485,114.2676
"TM8",22.4732,114.3
"SM1",22.2123,114.2314
"SM2",22.2241,114.1782
"SM3",22.2254,114.1497
"SM4",22.2126,114.1386
"SM5",22.2023,114.1121
"SM6",22.1917,114.079
"SM7",22.229,114.0746
"SM9",22.2737,114.0671
"SM10",22.3021,114.032
"SM11",22.2574,114.018
"SM12",22.2143,114.0145
"SM13",22.2159,113.9621
"SM17",22.1535,113.9621
"SM18",22.1535,114.0791
"SM19",22.1535,114.218
"SM20",22.1741,113.8822
"PM1",22.3874,114.2857
"PM2",22.3774,114.2781
"PM3",22.3693,114.2818
"PM4",22.3823,114.3136
"PM6",22.3517,114.2702
"PM7",22.3409,114.295
"PM8",22.3195,114.3124
"PM9",22.3422,114.3366
"PM11",22.3207,114.336
"JM3",22.2915,114.2609
"JM4",22.2812,114.2563
"DM1",22.4962,114.0107
"DM2",22.5076,113.9925
"DM3",22.4767,113.9592
"DM4",22.4556,113.9323
"DM5",22.426,113.8898
"NM1",22.348,114.0214
"NM2",22.3522,113.9802
"NM3",22.3464,113.9464
"NM5",22.3842,113.8995
"NM6",22.3394,113.8985
"NM8",22.2782,113.8648
"MM1",22.5497,114.2378
"MM2",22.5438,114.2775
"MM3",22.5619,114.3102
"MM4",22.5636,114.3581
"MM5",22.5206,114.3939
"MM6",22.4556,114.35
"MM7",22.5235,114.2971
"MM8",22.2004,114.3224
"MM13",22.2167,114.4487
"MM14",22.2927,114.4487
"MM15",22.3687,114.4487
"MM16",22.4445,114.4487
"MM17",22.5032,114.3493
"MM19",22.2654,114.3235
"WM1",22.2507,114.1227
"WM2",22.2846,114.0955
"WM3",22.32,114.0971
"WM4",22.349,114.0709
"EM1",22.2751,114.2556
"EM2",22.2622,114.2662
"EM3",22.2373,114.2691
"VM1",22.288,114.2306
"VM2",22.2977,114.2103
"VM4",22.2977,114.1942
"VM5",22.2878,114.1752
"VM6",22.2895,114.1611
"VM7",22.2962,114.1403
"VM8",22.2927,114.1196
"VM12",22.3293,114.1213
"VM14",22.3656,114.1088
"VM15",22.3097,114.1423
