year_month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176
200208,,,,,,,,,,,,0.960246742,1.027804375,1.099521279,,,,,,,,,,,,,,1.023755431,1.036195517,1.141805291,,,,,,,,,,,,,,,,1.061208606,1.137283802,1.18751061,,,,,,,,,,,,,,1.234915972,1.295943379,2.071239471,,,,,,,,,,,,,,1.234928131,2.346014261,2.073312283,,,,,,,,,,,,,,2.388788462,2.29856801,2.032587767,,,,,5.501801014,5.28724575,4.046254158,,,,,3.281444311,2.342002869,2.160105228,1.504321098,1.711725235,,,,,5.501801014,5.28724575,4.046254158,,,,,3.281444311,2.342003107,1.704618812,1.343055248,1.333627105,,,7.65171814,7.65171814,17.35049248,10.44950199,10.44964695,4.450808525,4.450808525,4.663478374,4.04605341,3.989575624,3.613100767,2.21920681,1.172063231,0.955280602,,,7.651379108,7.651416302,17.34858322,17.86743355,20.25891876,4.465780258,4.451060772,4.663509369,4.744971752,4.322868824,3.086970329,2.321709871,1.702144384,1.439966679,,,5.378986359,5.763273239,9.582101822,9.670793533,10.06635666,8.702381134,6.357202053,4.801747322,4.919647694,4.681359768,3.889438868,2.638861418,2.741086245,2.281748295
200209,,,,,,,,,,,,2.411740541,2.126598597,1.795010209,,,,,,,,,,,,,,1.945490479,1.849138141,1.370108724,,,,,,,,,,,,,,,1.539389849,1.366687059,1.307126999,1.76574254,,,,,,,,,,,,,1.539389729,1.228592992,1.27196908,1.765740991,,,,,,,,,,,,,,1.170950532,1.577804089,1.744699359,,,,,,,,,,,,2.152958155,1.662234664,1.689284325,1.721318841,1.758502603,,,,,,,,,,,,2.153149843,2.152949333,1.994343638,2.075480461,1.963771462,,,,,,,,,,,,2.245328426,2.137744904,2.137162447,2.155367851,2.094588518,,,,,,,,,,,2.188085794,2.198091984,2.268616915,2.231031179,2.190163374,2.205752134,,,,2.395717621,2.328607082,2.390838861,2.398126125,2.365516663,2.353855133,2.336505175,2.20591855,2.123077393,2.185391426,2.226880312,2.211503744,2.180206776,,,,2.395717382,2.328607082,2.3908391,2.398125887,2.365516424,2.353854895,2.336505175,2.216666698,2.200255632,2.154609442,2.226268291,2.170256615,2.319185495
200210,,,,,,,,,,,,,9.600323677,9.575874329,9.01851368,9.01851368,,,,,,,,,,,,,9.600324631,9.575874329,9.01851368,9.01851368,5.156046391,6.980924129,6.822405338,6.552596092,,,,,,,,,,6.695463657,5.150460243,1.127523899,5.389111042,6.162941933,8.103283882,8.101985931,,,,,,,,,,5.875981808,5.615991116,2.725605726,6.305255413,6.205818176,6.294952869,8.103339195,,,,,,,,,,1.033220291,2.160563469,2.064121246,9.520367622,16.94544792,14.54460239,14.34449768,14.34449768,3.826233864,3.826233864,,,,1.158344865,1.159730792,0.976728976,1.689971089,2.00067997,1.708323479,11.08834362,14.0185585,16.8102932,14.34449768,5.194534302,3.826228142,3.82623148,,,,1.158344865,1.159769535,1.231234908,2.197618723,1.842865109,1.535676956,13.51128006,18.03217506,16.8110199,,3.695380211,3.722310305,3.805554152,,,,1.158344865,1.85605371,2.062278748,1.739957809,1.489651203,1.384269714,9.452039719,7.255353451,5.078635216,5.07853651,4.538218975,4.451647758,4.434089184,2.789473295,2.708379745,2.629860163,2.424970627,2.255254984,1.917340755,1.559829831,1.398137569,1.399869204,8.664635658,7.25540638,5.340088844,4.927468777,4.194397926,3.84705472,3.705156803,2.789565563,2.70836997,2.554730415,2.335398436,1.90349412,1.441589594,1.299436212,1.362511754,1.377774119,9.290475845,7.936371326,4.294622898,4.15553093,3.801428556,3.658992529,3.575906038,3.10398078,2.585817337,2.336050749,1.680621266,1.241664529,1.152487636,1.263608456,1.57231164,1.773589373
200211,5.461883545,,,5.572827816,5.572827816,,,,,,,2.86154294,2.583627939,2.483561516,2.640140772,2.340382576,5.461883545,,,5.572827816,5.572827816,,,,,,,2.518931866,2.479511499,2.315826654,2.340387106,2.340382814,4.905406475,4.458738327,4.600402832,4.739283085,,,,,,,,,2.483901501,2.527276278,2.38774538,2.089139223,4.905286312,4.867667198,4.415134907,4.415616989,,,,,,,,,1.256914258,1.91121459,2.146544933,2.100569725,4.752551079,4.750789642,4.415126801,4.415127754,,,,,,,,,1.255719781,1.838878512,2.141426086,2.262502432,4.862668514,4.706995964,4.178154469,3.474743366,3.504960775,3.505721569,3.101350784,3.036011219,,,,2.506478071,2.265490055,2.270949125,2.295881748,2.387055159,4.93824482,5.001281738,5.061498165,3.474743128,3.485322237,3.12911129,3.101352453,3.036011219,,,,2.506287813,2.506459951,2.464448214,2.373266459,2.415799379,4.713169098,5.206326962,5.061777115,,3.380737782,3.298847914,3.111393213,3.036011219,,,,2.369974375,2.30728364,2.357092381,2.344390154,2.331131697,4.681277275,4.065879822,3.027599573,3.027590752,3.672723293,3.145135403,3.089574337,2.433197975,2.433197975,2.290020466,2.317308187,2.333119154,2.262776375,2.450997591,2.383873224,2.354120493,4.340313911,4.065870285,2.921103239,2.997041702,3.051871777,2.915048122,2.782614708,2.433453798,2.43320179,2.424072027,2.367052794,2.400614977,2.402872801,2.458704472,2.49387908,2.432383537,4.22663784,3.957996607,2.963769197,2.795427799,2.780390978,2.743797302,2.668745041,2.597494602,2.509282112,2.36662364,2.299348354,2.399845123,2.379541636,2.394815445,2.451244116,2.260803223
200212,,,,,,,,,,,,2.848097086,2.718433857,2.670940876,2.750619888,2.584001303,,,,,,,,,,,,2.999859333,2.93521452,2.653535128,2.584006786,2.584001303,3.76772809,3.861460686,,,,,,,,,,,2.542635202,2.534925461,2.516083002,2.488498211,3.833644152,3.797140121,,,,,,,,,,,2.542635202,2.393141747,2.39294672,2.390750885,3.949039221,3.959664106,,,,,,,,,,,,2.251632929,2.275404692,2.415323019,3.879131556,3.68820715,,,,2.587834835,2.587834835,,,,,2.191810846,2.191810846,2.270684719,2.332049608,2.57820344,3.743550777,3.728009462,,,2.605946779,2.587836742,2.587837458,,,,,2.191810846,2.191817522,2.261895895,2.333333254,2.41260004,3.949554682,3.728014231,,,2.605947018,2.60501647,2.601910591,,,,,2.191810846,2.244804382,2.359586239,2.432362795,2.421655416,4.07044363,3.202184916,3.265925407,3.265576601,2.6451087,2.677166224,2.680911064,2.279201508,2.279201508,2.279201508,2.324842215,2.339508057,2.385983706,2.428227663,2.463551998,2.465466738,3.69501996,3.202185869,2.749233246,2.714166403,2.514585495,2.384204865,2.419081211,2.279198647,2.279201508,2.279178858,2.299885988,2.248559475,2.377671003,2.504860878,2.515526295,2.393835545,3.481060266,3.219251394,2.622491121,2.472291946,2.373029232,2.313319445,2.273602247,2.273595333,2.279201508,2.15913105,2.156024933,2.148368835,2.338005066,2.330013275,2.242141724,0.847525179
200301,,,,,,,,,,,2.860819101,5.015017986,5.395787716,5.744601727,6.673450947,3.56441927,,,,,,,,,,,2.860819101,3.775835037,3.67300272,3.378931522,5.331997395,3.56441927,,,,,,,,,,,,,2.899565697,2.981147528,3.274303198,3.720909119,,,,,,,,,,,,,2.891486168,2.721647978,2.540891647,2.281460047,,,,,,,,,,,,,2.891484261,2.562236786,2.446041346,2.304177761,,,,,,3.281772852,3.256957769,3.189470291,,,2.63531065,2.635333061,2.578206301,2.551898956,2.481916666,2.27968955,,,,,3.048605919,3.28177619,3.257015944,3.189470291,,,2.86639452,2.860543728,2.760480881,2.474126101,2.398080587,2.354625702,,,,,3.048605919,3.346753597,3.812519073,3.189470291,,,2.866431475,2.342407942,2.528159618,2.455646515,2.402250528,2.434126139,5.212091446,4.125332355,3.623560667,3.624281883,3.282203913,7.528470516,7.918904781,3.002562046,2.45762372,2.732074738,2.517047405,2.358874798,2.571755886,2.52390933,2.415219069,2.486285448,5.21207571,4.125202179,5.351103783,4.940605164,3.332753181,3.497539759,3.059765339,3.002171278,2.457605124,2.335314512,2.587952375,2.353983402,2.485256672,2.491042137,2.44953537,2.426336765,5.033750534,2.910393953,3.393465519,3.648924828,2.918305159,2.520106554,2.374857426,2.264848948,2.228415251,2.257697821,2.305417061,2.361947298,2.511167765,2.679892302,2.596753836,2.328447819
200302,,,,,,,,,,,,2.604419231,3.225409269,3.225383997,2.428011417,2.428011417,,,,,,,,,,,,2.604419231,2.550661564,2.438631535,2.428011417,2.428011417,5.708956242,5.346037865,,,,,,,,,,,1.837870598,2.562427759,2.558198929,2.203038216,5.708934784,5.34603548,,,,,,,,,,,1.837870479,1.608761668,1.656874299,2.147325516,5.207019806,5.207010746,,,,,,,,,,,,1.320189953,1.827559829,2.18589282,4.825442314,5.052908897,5.052999496,,,,,,,,,0.92126739,1.011209846,1.736321092,1.99888885,2.255505085,4.536826611,4.526893616,5.052999496,,3.003081322,3.00275898,3.001236916,,,,,0.921243072,0.921366334,1.855793715,2.172330141,2.312176943,4.710689545,4.526887417,,,3.003081322,3.002758741,3.001236916,,,,,0.906892776,1.630132437,1.791738749,1.761118054,1.694638252,4.434242249,3.336777449,2.640134335,2.940709829,3.801428318,3.063010693,3.062839746,,,,1.453725576,1.533807755,1.790359974,1.694752455,1.336364269,1.062070251,3.81717658,3.336779833,2.640105963,2.940668583,3.801300764,4.080247402,1.990350246,1.740895987,1.636200666,1.551043987,0.99162662,1.558687925,1.611162305,1.465556979,1.209784865,1.020640969,3.006490946,3.347497702,2.360947132,2.32641387,2.5109694,2.296598673,1.919792414,1.740895987,1.636200666,1.551043987,1.638344288,1.618014693,1.437095165,1.412992716,1.171639085,0.900646567
200303,,,,,,,,,,,,1.224611521,1.131874919,1.089555502,0.97914207,0.836468458,,,,,,,,,,,,1.224611521,1.169519782,1.0230335,0.836472094,0.836468518,,,,,,,,,,,,,,0.726159692,0.735155582,0.763294399,,,,,,,,,,,,,,0.638265193,0.638223052,0.763294399,,,,,,,,,,,,,,0.638209999,0.638209999,,3.772442579,3.840136766,,,,,,,,,,,,1.236047506,1.236047745,0.991667628,3.865386963,3.840137243,,,,,,,,,,,,1.109362483,1.002013445,0.991667628,3.8653934,3.840136766,,,,,,,,,,,,0.842692137,0.842692554,0.991667628,,,2.430599928,2.515406847,2.417723894,1.881056786,1.824303508,2.226861477,2.226861477,2.226861477,1.00833571,0.998020172,0.95292908,0.986260653,0.625235975,0.594738722,4.715656757,,2.430532932,2.515362978,2.41768837,1.881047487,1.82428813,2.226507902,2.226845026,2.226104498,1.282026529,0.998020172,0.952929139,0.986260772,0.625235915,0.594738722,4.715656757,,2.003307343,1.927826762,1.740661025,1.565106392,1.353281617,1.960352063,1.978541613,1.576070189,1.356823206,,,,,
200304,,,,,,,,,,,,2.561069012,2.30787921,1.956752539,1.253659606,1.303485513,,,,,,,,,,,,2.601116896,2.387425423,1.863403797,1.303484797,1.303485513,4.718327045,5.052370548,5.052434444,4.885630131,,,,,,,,,2.047363281,1.516083956,1.318548441,1.080205679,4.718318939,4.748054504,4.885632992,4.885630131,,,,,,,,,2.047363281,1.005153537,0.9978531,0.927029967,4.611084938,4.611102104,4.885631084,4.885630131,,,,,,,,,,0.52127862,0.689901173,0.552014828,4.201390743,4.052612782,4.440904617,4.188589573,4.091539383,4.087195873,,,,,,0.704693079,0.495730698,0.473025143,0.442311496,0.376675606,4.266419411,4.249848366,4.44090414,4.188589573,4.09153986,3.082078695,2.708292484,,,,,0.705120504,0.7046929,0.411446244,0.30100581,0.260396361,4.321264267,4.848042965,,,,2.708292246,2.708292484,,,,,0.95718056,0.957150102,0.288990825,0.264000893,0.245252535,4.114540577,4.035842419,4.10585022,4.104798317,2.863001585,2.821635723,2.812255859,2.289386749,2.289386749,2.289386749,0.630415499,0.630415499,,0.230225742,0.224714503,0.233060971,4.083940506,4.035793304,3.061914921,2.935901642,2.595653296,2.324008465,2.215636492,2.285671711,2.289326906,2.289386749,0.630415499,0.630415499,,0.230225489,0.224712878,0.221060663,3.798422813,3.517441511,2.544160843,2.380833149,2.17380476,1.1036762,0.81722337,0.745943546,0.499462545,2.289386749,,,,0.187875703,0.187861711,0.180025414
200305,,,,,,,,,,,,,,0.672017455,0.672017455,0.672017455,,,,,,,,,,,,,,0.672017455,0.672017455,0.672017455,,,,,,,,,,,,,,0.593093216,0.623790562,0.663038194,,,,,,,,,,,,,,0.593093216,2.293523312,2.29592824,,,,,,,,,,,,,,,1.789121866,1.973513603,4.971570969,,,,,,,,,,,,,1.749268293,1.706392884,1.614764214,4.977356911,,,,,,,,,,,,,1.463143706,1.521486402,1.244345188,25.35232353,,,,,,,,,,,,,1.20482409,1.108253121,1.07257247,22.48844147,,,,5.96932745,5.96932745,,3.177851439,3.177851439,3.177851439,0.753179312,0.886325896,1.135758996,0.957290649,0.760226071,0.991536438,22.48844337,,3.725076914,5.302586555,5.969198227,5.969290733,4.203773022,3.177490234,3.17779994,3.174551249,1.01944685,0.668235302,0.856453896,0.802789271,0.658465207,0.53767252,,,3.725077152,5.302587032,5.551698685,5.447162628,4.203773499,2.95355773,2.323814869,1.493889213,1.030403972,0.898428679,0.688578665,0.598996043,0.574060082,0.487258404
